code,name,riskLevel,description
e441,Texture enhancer E441,Review Needed,Seed catalog entry for E441 pending detailed additive review.
e442,Texture enhancer E442,Review Needed,Seed catalog entry for E442 pending detailed additive review.
e443,Texture enhancer E443,Review Needed,Seed catalog entry for E443 pending detailed additive review.
e444,Texture enhancer E444,Review Needed,Seed catalog entry for E444 pending detailed additive review.
e445,Texture enhancer E445,Review Needed,Seed catalog entry for E445 pending detailed additive review.
e446,Texture enhancer E446,Review Needed,Seed catalog entry for E446 pending detailed additive review.
e447,Texture enhancer E447,Review Needed,Seed catalog entry for E447 pending detailed additive review.
e448,Texture enhancer E448,Review Needed,Seed catalog entry for E448 pending detailed additive review.
e449,Texture enhancer E449,Review Needed,Seed catalog entry for E449 pending detailed additive review.
e450,Texture enhancer E450,Review Needed,Seed catalog entry for E450 pending detailed additive review.
e451,Texture enhancer E451,Review Needed,Seed catalog entry for E451 pending detailed additive review.
e452,Texture enhancer E452,Review Needed,Seed catalog entry for E452 pending detailed additive review.
e453,Texture enhancer E453,Review Needed,Seed catalog entry for E453 pending detailed additive review.
e454,Texture enhancer E454,Review Needed,Seed catalog entry for E454 pending detailed additive review.
e455,Texture enhancer E455,Review Needed,Seed catalog entry for E455 pending detailed additive review.
e456,Texture enhancer E456,Review Needed,Seed catalog entry for E456 pending detailed additive review.
e457,Texture enhancer E457,Review Needed,Seed catalog entry for E457 pending detailed additive review.
e458,Texture enhancer E458,Review Needed,Seed catalog entry for E458 pending detailed additive review.
e459,Texture enhancer E459,Review Needed,Seed catalog entry for E459 pending detailed additive review.
e460,Texture enhancer E460,Review Needed,Seed catalog entry for E460 pending detailed additive review.
e461,Texture enhancer E461,Review Needed,Seed catalog entry for E461 pending detailed additive review.
e462,Texture enhancer E462,Review Needed,Seed catalog entry for E462 pending detailed additive review.
e463,Texture enhancer E463,Review Needed,Seed catalog entry for E463 pending detailed additive review.
e464,Texture enhancer E464,Review Needed,Seed catalog entry for E464 pending detailed additive review.
e465,Texture enhancer E465,Review Needed,Seed catalog entry for E465 pending detailed additive review.
e466,Texture enhancer E466,Review Needed,Seed catalog entry for E466 pending detailed additive review.
e467,Texture enhancer E467,Review Needed,Seed catalog entry for E467 pending detailed additive review.
e468,Texture enhancer E468,Review Needed,Seed catalog entry for E468 pending detailed additive review.
e469,Texture enhancer E469,Review Needed,Seed catalog entry for E469 pending detailed additive review.
e470,Texture enhancer E470,Review Needed,Seed catalog entry for E470 pending detailed additive review.
e471,Mono and diglycerides of fatty acids,Moderate,Emulsifier that improves texture and shelf life.
e472,Texture enhancer E472,Review Needed,Seed catalog entry for E472 pending detailed additive review.
e473,Texture enhancer E473,Review Needed,Seed catalog entry for E473 pending detailed additive review.
e474,Texture enhancer E474,Review Needed,Seed catalog entry for E474 pending detailed additive review.
e475,Texture enhancer E475,Review Needed,Seed catalog entry for E475 pending detailed additive review.
e476,Texture enhancer E476,Review Needed,Seed catalog entry for E476 pending detailed additive review.
e477,Texture enhancer E477,Review Needed,Seed catalog entry for E477 pending detailed additive review.
e478,Texture enhancer E478,Review Needed,Seed catalog entry for E478 pending detailed additive review.
e479,Texture enhancer E479,Review Needed,Seed catalog entry for E479 pending detailed additive review.
e480,Texture enhancer E480,Review Needed,Seed catalog entry for E480 pending detailed additive review.
e481,Texture enhancer E481,Review Needed,Seed catalog entry for E481 pending detailed additive review.
e482,Texture enhancer E482,Review Needed,Seed catalog entry for E482 pending detailed additive review.
e483,Texture enhancer E483,Review Needed,Seed catalog entry for E483 pending detailed additive review.
e484,Texture enhancer E484,Review Needed,Seed catalog entry for E484 pending detailed additive review.
e485,Texture enhancer E485,Review Needed,Seed catalog entry for E485 pending detailed additive review.
e486,Texture enhancer E486,Review Needed,Seed catalog entry for E486 pending detailed additive review.
e487,Texture enhancer E487,Review Needed,Seed catalog entry for E487 pending detailed additive review.
e488,Texture enhancer E488,Review Needed,Seed catalog entry for E488 pending detailed additive review.
e489,Texture enhancer E489,Review Needed,Seed catalog entry for E489 pending detailed additive review.
e490,Texture enhancer E490,Review Needed,Seed catalog entry for E490 pending detailed additive review.
e491,Texture enhancer E491,Review Needed,Seed catalog entry for E491 pending detailed additive review.
e492,Texture enhancer E492,Review Needed,Seed catalog entry for E492 pending detailed additive review.
e493,Texture enhancer E493,Review Needed,Seed catalog entry for E493 pending detailed additive review.
e494,Texture enhancer E494,Review Needed,Seed catalog entry for E494 pending detailed additive review.
e495,Texture enhancer E495,Review Needed,Seed catalog entry for E495 pending detailed additive review.
e496,Texture enhancer E496,Review Needed,Seed catalog entry for E496 pending detailed additive review.
e497,Texture enhancer E497,Review Needed,Seed catalog entry for E497 pending detailed additive review.
e498,Texture enhancer E498,Review Needed,Seed catalog entry for E498 pending detailed additive review.
e499,Texture enhancer E499,Review Needed,Seed catalog entry for E499 pending detailed additive review.
e500,Sodium carbonates,Low,Raising agent used in baking powders and snacks.
e501,Acidity regulator and anti caking agent E501,Review Needed,Seed catalog entry for E501 pending detailed additive review.
e502,Acidity regulator and anti caking agent E502,Review Needed,Seed catalog entry for E502 pending detailed additive review.
e503,Acidity regulator and anti caking agent E503,Review Needed,Seed catalog entry for E503 pending detailed additive review.
e504,Acidity regulator and anti caking agent E504,Review Needed,Seed catalog entry for E504 pending detailed additive review.
e505,Acidity regulator and anti caking agent E505,Review Needed,Seed catalog entry for E505 pending detailed additive review.
e506,Acidity regulator and anti caking agent E506,Review Needed,Seed catalog entry for E506 pending detailed additive review.
e507,Acidity regulator and anti caking agent E507,Review Needed,Seed catalog entry for E507 pending detailed additive review.
e508,Acidity regulator and anti caking agent E508,Review Needed,Seed catalog entry for E508 pending detailed additive review.
e509,Acidity regulator and anti caking agent E509,Review Needed,Seed catalog entry for E509 pending detailed additive review.
e510,Acidity regulator and anti caking agent E510,Review Needed,Seed catalog entry for E510 pending detailed additive review.
e511,Acidity regulator and anti caking agent E511,Review Needed,Seed catalog entry for E511 pending detailed additive review.
e512,Acidity regulator and anti caking agent E512,Review Needed,Seed catalog entry for E512 pending detailed additive review.
e513,Acidity regulator and anti caking agent E513,Review Needed,Seed catalog entry for E513 pending detailed additive review.
e514,Acidity regulator and anti caking agent E514,Review Needed,Seed catalog entry for E514 pending detailed additive review.
e515,Acidity regulator and anti caking agent E515,Review Needed,Seed catalog entry for E515 pending detailed additive review.
e516,Acidity regulator and anti caking agent E516,Review Needed,Seed catalog entry for E516 pending detailed additive review.
e517,Acidity regulator and anti caking agent E517,Review Needed,Seed catalog entry for E517 pending detailed additive review.
e518,Acidity regulator and anti caking agent E518,Review Needed,Seed catalog entry for E518 pending detailed additive review.
e519,Acidity regulator and anti caking agent E519,Review Needed,Seed catalog entry for E519 pending detailed additive review.
e520,Acidity regulator and anti caking agent E520,Review Needed,Seed catalog entry for E520 pending detailed additive review.
e521,Acidity regulator and anti caking agent E521,Review Needed,Seed catalog entry for E521 pending detailed additive review.
e522,Acidity regulator and anti caking agent E522,Review Needed,Seed catalog entry for E522 pending detailed additive review.
e523,Acidity regulator and anti caking agent E523,Review Needed,Seed catalog entry for E523 pending detailed additive review.
e524,Acidity regulator and anti caking agent E524,Review Needed,Seed catalog entry for E524 pending detailed additive review.
e525,Acidity regulator and anti caking agent E525,Review Needed,Seed catalog entry for E525 pending detailed additive review.
e526,Acidity regulator and anti caking agent E526,Review Needed,Seed catalog entry for E526 pending detailed additive review.
e527,Acidity regulator and anti caking agent E527,Review Needed,Seed catalog entry for E527 pending detailed additive review.
e528,Acidity regulator and anti caking agent E528,Review Needed,Seed catalog entry for E528 pending detailed additive review.
e529,Acidity regulator and anti caking agent E529,Review Needed,Seed catalog entry for E529 pending detailed additive review.
e530,Acidity regulator and anti caking agent E530,Review Needed,Seed catalog entry for E530 pending detailed additive review.
e531,Acidity regulator and anti caking agent E531,Review Needed,Seed catalog entry for E531 pending detailed additive review.
e532,Acidity regulator and anti caking agent E532,Review Needed,Seed catalog entry for E532 pending detailed additive review.
e533,Acidity regulator and anti caking agent E533,Review Needed,Seed catalog entry for E533 pending detailed additive review.
e534,Acidity regulator and anti caking agent E534,Review Needed,Seed catalog entry for E534 pending detailed additive review.
e535,Acidity regulator and anti caking agent E535,Review Needed,Seed catalog entry for E535 pending detailed additive review.
e536,Acidity regulator and anti caking agent E536,Review Needed,Seed catalog entry for E536 pending detailed additive review.
e537,Acidity regulator and anti caking agent E537,Review Needed,Seed catalog entry for E537 pending detailed additive review.
e538,Acidity regulator and anti caking agent E538,Review Needed,Seed catalog entry for E538 pending detailed additive review.
e539,Acidity regulator and anti caking agent E539,Review Needed,Seed catalog entry for E539 pending detailed additive review.
e540,Acidity regulator and anti caking agent E540,Review Needed,Seed catalog entry for E540 pending detailed additive review.
e541,Acidity regulator and anti caking agent E541,Review Needed,Seed catalog entry for E541 pending detailed additive review.
e542,Acidity regulator and anti caking agent E542,Review Needed,Seed catalog entry for E542 pending detailed additive review.
e543,Acidity regulator and anti caking agent E543,Review Needed,Seed catalog entry for E543 pending detailed additive review.
e544,Acidity regulator and anti caking agent E544,Review Needed,Seed catalog entry for E544 pending detailed additive review.
e545,Acidity regulator and anti caking agent E545,Review Needed,Seed catalog entry for E545 pending detailed additive review.
e546,Acidity regulator and anti caking agent E546,Review Needed,Seed catalog entry for E546 pending detailed additive review.
e547,Acidity regulator and anti caking agent E547,Review Needed,Seed catalog entry for E547 pending detailed additive review.
e548,Acidity regulator and anti caking agent E548,Review Needed,Seed catalog entry for E548 pending detailed additive review.
e549,Acidity regulator and anti caking agent E549,Review Needed,Seed catalog entry for E549 pending detailed additive review.
e550,Acidity regulator and anti caking agent E550,Review Needed,Seed catalog entry for E550 pending detailed additive review.
e551,Acidity regulator and anti caking agent E551,Review Needed,Seed catalog entry for E551 pending detailed additive review.
e552,Acidity regulator and anti caking agent E552,Review Needed,Seed catalog entry for E552 pending detailed additive review.
e553,Acidity regulator and anti caking agent E553,Review Needed,Seed catalog entry for E553 pending detailed additive review.
e554,Acidity regulator and anti caking agent E554,Review Needed,Seed catalog entry for E554 pending detailed additive review.
e555,Acidity regulator and anti caking agent E555,Review Needed,Seed catalog entry for E555 pending detailed additive review.
e556,Acidity regulator and anti caking agent E556,Review Needed,Seed catalog entry for E556 pending detailed additive review.
e557,Acidity regulator and anti caking agent E557,Review Needed,Seed catalog entry for E557 pending detailed additive review.
e558,Acidity regulator and anti caking agent E558,Review Needed,Seed catalog entry for E558 pending detailed additive review.
e559,Acidity regulator and anti caking agent E559,Review Needed,Seed catalog entry for E559 pending detailed additive review.
e560,Acidity regulator and anti caking agent E560,Review Needed,Seed catalog entry for E560 pending detailed additive review.
e561,Acidity regulator and anti caking agent E561,Review Needed,Seed catalog entry for E561 pending detailed additive review.
e562,Acidity regulator and anti caking agent E562,Review Needed,Seed catalog entry for E562 pending detailed additive review.
e563,Acidity regulator and anti caking agent E563,Review Needed,Seed catalog entry for E563 pending detailed additive review.
e564,Acidity regulator and anti caking agent E564,Review Needed,Seed catalog entry for E564 pending detailed additive review.
e565,Acidity regulator and anti caking agent E565,Review Needed,Seed catalog entry for E565 pending detailed additive review.
e566,Acidity regulator and anti caking agent E566,Review Needed,Seed catalog entry for E566 pending detailed additive review.
e567,Acidity regulator and anti caking agent E567,Review Needed,Seed catalog entry for E567 pending detailed additive review.
e568,Acidity regulator and anti caking agent E568,Review Needed,Seed catalog entry for E568 pending detailed additive review.
e569,Acidity regulator and anti caking agent E569,Review Needed,Seed catalog entry for E569 pending detailed additive review.
e570,Acidity regulator and anti caking agent E570,Review Needed,Seed catalog entry for E570 pending detailed additive review.
e571,Acidity regulator and anti caking agent E571,Review Needed,Seed catalog entry for E571 pending detailed additive review.
e572,Acidity regulator and anti caking agent E572,Review Needed,Seed catalog entry for E572 pending detailed additive review.
e573,Acidity regulator and anti caking agent E573,Review Needed,Seed catalog entry for E573 pending detailed additive review.
e574,Acidity regulator and anti caking agent E574,Review Needed,Seed catalog entry for E574 pending detailed additive review.
e575,Acidity regulator and anti caking agent E575,Review Needed,Seed catalog entry for E575 pending detailed additive review.
e576,Acidity regulator and anti caking agent E576,Review Needed,Seed catalog entry for E576 pending detailed additive review.
e577,Acidity regulator and anti caking agent E577,Review Needed,Seed catalog entry for E577 pending detailed additive review.
e578,Acidity regulator and anti caking agent E578,Review Needed,Seed catalog entry for E578 pending detailed additive review.
e579,Acidity regulator and anti caking agent E579,Review Needed,Seed catalog entry for E579 pending detailed additive review.
e580,Acidity regulator and anti caking agent E580,Review Needed,Seed catalog entry for E580 pending detailed additive review.
e581,Acidity regulator and anti caking agent E581,Review Needed,Seed catalog entry for E581 pending detailed additive review.
e582,Acidity regulator and anti caking agent E582,Review Needed,Seed catalog entry for E582 pending detailed additive review.
e583,Acidity regulator and anti caking agent E583,Review Needed,Seed catalog entry for E583 pending detailed additive review.
e584,Acidity regulator and anti caking agent E584,Review Needed,Seed catalog entry for E584 pending detailed additive review.
e585,Acidity regulator and anti caking agent E585,Review Needed,Seed catalog entry for E585 pending detailed additive review.
e586,Acidity regulator and anti caking agent E586,Review Needed,Seed catalog entry for E586 pending detailed additive review.
e587,Acidity regulator and anti caking agent E587,Review Needed,Seed catalog entry for E587 pending detailed additive review.
e588,Acidity regulator and anti caking agent E588,Review Needed,Seed catalog entry for E588 pending detailed additive review.
e589,Acidity regulator and anti caking agent E589,Review Needed,Seed catalog entry for E589 pending detailed additive review.
e590,Acidity regulator and anti caking agent E590,Review Needed,Seed catalog entry for E590 pending detailed additive review.
e591,Acidity regulator and anti caking agent E591,Review Needed,Seed catalog entry for E591 pending detailed additive review.
e592,Acidity regulator and anti caking agent E592,Review Needed,Seed catalog entry for E592 pending detailed additive review.
e593,Acidity regulator and anti caking agent E593,Review Needed,Seed catalog entry for E593 pending detailed additive review.
e594,Acidity regulator and anti caking agent E594,Review Needed,Seed catalog entry for E594 pending detailed additive review.
e595,Acidity regulator and anti caking agent E595,Review Needed,Seed catalog entry for E595 pending detailed additive review.
e596,Acidity regulator and anti caking agent E596,Review Needed,Seed catalog entry for E596 pending detailed additive review.
e597,Acidity regulator and anti caking agent E597,Review Needed,Seed catalog entry for E597 pending detailed additive review.
e598,Acidity regulator and anti caking agent E598,Review Needed,Seed catalog entry for E598 pending detailed additive review.
e599,Acidity regulator and anti caking agent E599,Review Needed,Seed catalog entry for E599 pending detailed additive review.
e600,Flavor enhancer E600,Review Needed,Seed catalog entry for E600 pending detailed additive review.
e601,Flavor enhancer E601,Review Needed,Seed catalog entry for E601 pending detailed additive review.
e602,Flavor enhancer E602,Review Needed,Seed catalog entry for E602 pending detailed additive review.
e603,Flavor enhancer E603,Review Needed,Seed catalog entry for E603 pending detailed additive review.
e604,Flavor enhancer E604,Review Needed,Seed catalog entry for E604 pending detailed additive review.
e605,Flavor enhancer E605,Review Needed,Seed catalog entry for E605 pending detailed additive review.
e606,Flavor enhancer E606,Review Needed,Seed catalog entry for E606 pending detailed additive review.
e607,Flavor enhancer E607,Review Needed,Seed catalog entry for E607 pending detailed additive review.
e608,Flavor enhancer E608,Review Needed,Seed catalog entry for E608 pending detailed additive review.
e609,Flavor enhancer E609,Review Needed,Seed catalog entry for E609 pending detailed additive review.
e610,Flavor enhancer E610,Review Needed,Seed catalog entry for E610 pending detailed additive review.
e611,Flavor enhancer E611,Review Needed,Seed catalog entry for E611 pending detailed additive review.
e612,Flavor enhancer E612,Review Needed,Seed catalog entry for E612 pending detailed additive review.
e613,Flavor enhancer E613,Review Needed,Seed catalog entry for E613 pending detailed additive review.
e614,Flavor enhancer E614,Review Needed,Seed catalog entry for E614 pending detailed additive review.
e615,Flavor enhancer E615,Review Needed,Seed catalog entry for E615 pending detailed additive review.
e616,Flavor enhancer E616,Review Needed,Seed catalog entry for E616 pending detailed additive review.
e617,Flavor enhancer E617,Review Needed,Seed catalog entry for E617 pending detailed additive review.
e618,Flavor enhancer E618,Review Needed,Seed catalog entry for E618 pending detailed additive review.
e619,Flavor enhancer E619,Review Needed,Seed catalog entry for E619 pending detailed additive review.
e620,Flavor enhancer E620,Review Needed,Seed catalog entry for E620 pending detailed additive review.
e621,Monosodium glutamate,High,Flavor enhancer strongly associated with ultra processed foods.
e622,Flavor enhancer E622,Review Needed,Seed catalog entry for E622 pending detailed additive review.
e623,Flavor enhancer E623,Review Needed,Seed catalog entry for E623 pending detailed additive review.
e624,Flavor enhancer E624,Review Needed,Seed catalog entry for E624 pending detailed additive review.
e625,Flavor enhancer E625,Review Needed,Seed catalog entry for E625 pending detailed additive review.
e626,Flavor enhancer E626,Review Needed,Seed catalog entry for E626 pending detailed additive review.
e627,Flavor enhancer E627,Review Needed,Seed catalog entry for E627 pending detailed additive review.
e628,Flavor enhancer E628,Review Needed,Seed catalog entry for E628 pending detailed additive review.
e629,Flavor enhancer E629,Review Needed,Seed catalog entry for E629 pending detailed additive review.
e630,Flavor enhancer E630,Review Needed,Seed catalog entry for E630 pending detailed additive review.
e631,Flavor enhancer E631,Review Needed,Seed catalog entry for E631 pending detailed additive review.
e632,Flavor enhancer E632,Review Needed,Seed catalog entry for E632 pending detailed additive review.
e633,Flavor enhancer E633,Review Needed,Seed catalog entry for E633 pending detailed additive review.
e634,Flavor enhancer E634,Review Needed,Seed catalog entry for E634 pending detailed additive review.
e635,Flavor enhancer E635,Review Needed,Seed catalog entry for E635 pending detailed additive review.
e636,Flavor enhancer E636,Review Needed,Seed catalog entry for E636 pending detailed additive review.
e637,Flavor enhancer E637,Review Needed,Seed catalog entry for E637 pending detailed additive review.
e638,Flavor enhancer E638,Review Needed,Seed catalog entry for E638 pending detailed additive review.
e639,Flavor enhancer E639,Review Needed,Seed catalog entry for E639 pending detailed additive review.
e640,Flavor enhancer E640,Review Needed,Seed catalog entry for E640 pending detailed additive review.
e641,Flavor enhancer E641,Review Needed,Seed catalog entry for E641 pending detailed additive review.
e642,Flavor enhancer E642,Review Needed,Seed catalog entry for E642 pending detailed additive review.
e643,Flavor enhancer E643,Review Needed,Seed catalog entry for E643 pending detailed additive review.
e644,Flavor enhancer E644,Review Needed,Seed catalog entry for E644 pending detailed additive review.
e645,Flavor enhancer E645,Review Needed,Seed catalog entry for E645 pending detailed additive review.
e646,Flavor enhancer E646,Review Needed,Seed catalog entry for E646 pending detailed additive review.
e647,Flavor enhancer E647,Review Needed,Seed catalog entry for E647 pending detailed additive review.
e648,Flavor enhancer E648,Review Needed,Seed catalog entry for E648 pending detailed additive review.
e649,Flavor enhancer E649,Review Needed,Seed catalog entry for E649 pending detailed additive review.
e650,Flavor enhancer E650,Review Needed,Seed catalog entry for E650 pending detailed additive review.
e651,Flavor enhancer E651,Review Needed,Seed catalog entry for E651 pending detailed additive review.
e652,Flavor enhancer E652,Review Needed,Seed catalog entry for E652 pending detailed additive review.
e653,Flavor enhancer E653,Review Needed,Seed catalog entry for E653 pending detailed additive review.
e654,Flavor enhancer E654,Review Needed,Seed catalog entry for E654 pending detailed additive review.
e655,Flavor enhancer E655,Review Needed,Seed catalog entry for E655 pending detailed additive review.
e656,Flavor enhancer E656,Review Needed,Seed catalog entry for E656 pending detailed additive review.
e657,Flavor enhancer E657,Review Needed,Seed catalog entry for E657 pending detailed additive review.
e658,Flavor enhancer E658,Review Needed,Seed catalog entry for E658 pending detailed additive review.
e659,Flavor enhancer E659,Review Needed,Seed catalog entry for E659 pending detailed additive review.
e660,Flavor enhancer E660,Review Needed,Seed catalog entry for E660 pending detailed additive review.
e661,Flavor enhancer E661,Review Needed,Seed catalog entry for E661 pending detailed additive review.
e662,Flavor enhancer E662,Review Needed,Seed catalog entry for E662 pending detailed additive review.
e663,Flavor enhancer E663,Review Needed,Seed catalog entry for E663 pending detailed additive review.
e664,Flavor enhancer E664,Review Needed,Seed catalog entry for E664 pending detailed additive review.
e665,Flavor enhancer E665,Review Needed,Seed catalog entry for E665 pending detailed additive review.
e666,Flavor enhancer E666,Review Needed,Seed catalog entry for E666 pending detailed additive review.
e667,Flavor enhancer E667,Review Needed,Seed catalog entry for E667 pending detailed additive review.
e668,Flavor enhancer E668,Review Needed,Seed catalog entry for E668 pending detailed additive review.
e669,Flavor enhancer E669,Review Needed,Seed catalog entry for E669 pending detailed additive review.
e670,Flavor enhancer E670,Review Needed,Seed catalog entry for E670 pending detailed additive review.
e671,Flavor enhancer E671,Review Needed,Seed catalog entry for E671 pending detailed additive review.
e672,Flavor enhancer E672,Review Needed,Seed catalog entry for E672 pending detailed additive review.
e673,Flavor enhancer E673,Review Needed,Seed catalog entry for E673 pending detailed additive review.
e674,Flavor enhancer E674,Review Needed,Seed catalog entry for E674 pending detailed additive review.
e675,Flavor enhancer E675,Review Needed,Seed catalog entry for E675 pending detailed additive review.
e676,Flavor enhancer E676,Review Needed,Seed catalog entry for E676 pending detailed additive review.
e677,Flavor enhancer E677,Review Needed,Seed catalog entry for E677 pending detailed additive review.
e678,Flavor enhancer E678,Review Needed,Seed catalog entry for E678 pending detailed additive review.
e679,Flavor enhancer E679,Review Needed,Seed catalog entry for E679 pending detailed additive review.
e680,Flavor enhancer E680,Review Needed,Seed catalog entry for E680 pending detailed additive review.
e681,Flavor enhancer E681,Review Needed,Seed catalog entry for E681 pending detailed additive review.
e682,Flavor enhancer E682,Review Needed,Seed catalog entry for E682 pending detailed additive review.
e683,Flavor enhancer E683,Review Needed,Seed catalog entry for E683 pending detailed additive review.
e684,Flavor enhancer E684,Review Needed,Seed catalog entry for E684 pending detailed additive review.
e685,Flavor enhancer E685,Review Needed,Seed catalog entry for E685 pending detailed additive review.
e686,Flavor enhancer E686,Review Needed,Seed catalog entry for E686 pending detailed additive review.
e687,Flavor enhancer E687,Review Needed,Seed catalog entry for E687 pending detailed additive review.
e688,Flavor enhancer E688,Review Needed,Seed catalog entry for E688 pending detailed additive review.
e689,Flavor enhancer E689,Review Needed,Seed catalog entry for E689 pending detailed additive review.
e690,Flavor enhancer E690,Review Needed,Seed catalog entry for E690 pending detailed additive review.
e691,Flavor enhancer E691,Review Needed,Seed catalog entry for E691 pending detailed additive review.
e692,Flavor enhancer E692,Review Needed,Seed catalog entry for E692 pending detailed additive review.
e693,Flavor enhancer E693,Review Needed,Seed catalog entry for E693 pending detailed additive review.
e694,Flavor enhancer E694,Review Needed,Seed catalog entry for E694 pending detailed additive review.
e695,Flavor enhancer E695,Review Needed,Seed catalog entry for E695 pending detailed additive review.
e696,Flavor enhancer E696,Review Needed,Seed catalog entry for E696 pending detailed additive review.
e697,Flavor enhancer E697,Review Needed,Seed catalog entry for E697 pending detailed additive review.
e698,Flavor enhancer E698,Review Needed,Seed catalog entry for E698 pending detailed additive review.
e699,Flavor enhancer E699,Review Needed,Seed catalog entry for E699 pending detailed additive review.
e900,Sweetener and glazing agent E900,Review Needed,Seed catalog entry for E900 pending detailed additive review.
e901,Sweetener and glazing agent E901,Review Needed,Seed catalog entry for E901 pending detailed additive review.
e902,Sweetener and glazing agent E902,Review Needed,Seed catalog entry for E902 pending detailed additive review.
e903,Sweetener and glazing agent E903,Review Needed,Seed catalog entry for E903 pending detailed additive review.
e904,Sweetener and glazing agent E904,Review Needed,Seed catalog entry for E904 pending detailed additive review.
e905,Sweetener and glazing agent E905,Review Needed,Seed catalog entry for E905 pending detailed additive review.
e906,Sweetener and glazing agent E906,Review Needed,Seed catalog entry for E906 pending detailed additive review.
e907,Sweetener and glazing agent E907,Review Needed,Seed catalog entry for E907 pending detailed additive review.
e908,Sweetener and glazing agent E908,Review Needed,Seed catalog entry for E908 pending detailed additive review.
e909,Sweetener and glazing agent E909,Review Needed,Seed catalog entry for E909 pending detailed additive review.
e910,Sweetener and glazing agent E910,Review Needed,Seed catalog entry for E910 pending detailed additive review.
e911,Sweetener and glazing agent E911,Review Needed,Seed catalog entry for E911 pending detailed additive review.
e912,Sweetener and glazing agent E912,Review Needed,Seed catalog entry for E912 pending detailed additive review.
e913,Sweetener and glazing agent E913,Review Needed,Seed catalog entry for E913 pending detailed additive review.
e914,Sweetener and glazing agent E914,Review Needed,Seed catalog entry for E914 pending detailed additive review.
e915,Sweetener and glazing agent E915,Review Needed,Seed catalog entry for E915 pending detailed additive review.
e916,Sweetener and glazing agent E916,Review Needed,Seed catalog entry for E916 pending detailed additive review.
e917,Sweetener and glazing agent E917,Review Needed,Seed catalog entry for E917 pending detailed additive review.
e918,Sweetener and glazing agent E918,Review Needed,Seed catalog entry for E918 pending detailed additive review.
e919,Sweetener and glazing agent E919,Review Needed,Seed catalog entry for E919 pending detailed additive review.
e920,Sweetener and glazing agent E920,Review Needed,Seed catalog entry for E920 pending detailed additive review.
e921,Sweetener and glazing agent E921,Review Needed,Seed catalog entry for E921 pending detailed additive review.
e922,Sweetener and glazing agent E922,Review Needed,Seed catalog entry for E922 pending detailed additive review.
e923,Sweetener and glazing agent E923,Review Needed,Seed catalog entry for E923 pending detailed additive review.
e924,Sweetener and glazing agent E924,Review Needed,Seed catalog entry for E924 pending detailed additive review.
e925,Sweetener and glazing agent E925,Review Needed,Seed catalog entry for E925 pending detailed additive review.
e926,Sweetener and glazing agent E926,Review Needed,Seed catalog entry for E926 pending detailed additive review.
e927,Sweetener and glazing agent E927,Review Needed,Seed catalog entry for E927 pending detailed additive review.
e928,Sweetener and glazing agent E928,Review Needed,Seed catalog entry for E928 pending detailed additive review.
e929,Sweetener and glazing agent E929,Review Needed,Seed catalog entry for E929 pending detailed additive review.
e930,Sweetener and glazing agent E930,Review Needed,Seed catalog entry for E930 pending detailed additive review.
e931,Sweetener and glazing agent E931,Review Needed,Seed catalog entry for E931 pending detailed additive review.
e932,Sweetener and glazing agent E932,Review Needed,Seed catalog entry for E932 pending detailed additive review.
e933,Sweetener and glazing agent E933,Review Needed,Seed catalog entry for E933 pending detailed additive review.
e934,Sweetener and glazing agent E934,Review Needed,Seed catalog entry for E934 pending detailed additive review.
e935,Sweetener and glazing agent E935,Review Needed,Seed catalog entry for E935 pending detailed additive review.
e936,Sweetener and glazing agent E936,Review Needed,Seed catalog entry for E936 pending detailed additive review.
e937,Sweetener and glazing agent E937,Review Needed,Seed catalog entry for E937 pending detailed additive review.
e938,Sweetener and glazing agent E938,Review Needed,Seed catalog entry for E938 pending detailed additive review.
e939,Sweetener and glazing agent E939,Review Needed,Seed catalog entry for E939 pending detailed additive review.
e940,Sweetener and glazing agent E940,Review Needed,Seed catalog entry for E940 pending detailed additive review.
e941,Sweetener and glazing agent E941,Review Needed,Seed catalog entry for E941 pending detailed additive review.
e942,Sweetener and glazing agent E942,Review Needed,Seed catalog entry for E942 pending detailed additive review.
e943,Sweetener and glazing agent E943,Review Needed,Seed catalog entry for E943 pending detailed additive review.
e944,Sweetener and glazing agent E944,Review Needed,Seed catalog entry for E944 pending detailed additive review.
e945,Sweetener and glazing agent E945,Review Needed,Seed catalog entry for E945 pending detailed additive review.
e946,Sweetener and glazing agent E946,Review Needed,Seed catalog entry for E946 pending detailed additive review.
e947,Sweetener and glazing agent E947,Review Needed,Seed catalog entry for E947 pending detailed additive review.
e948,Sweetener and glazing agent E948,Review Needed,Seed catalog entry for E948 pending detailed additive review.
e949,Sweetener and glazing agent E949,Review Needed,Seed catalog entry for E949 pending detailed additive review.
e950,Acesulfame K,High,Intense sweetener often used in diet drinks and gums.
e951,Aspartame,High,Intense sweetener that requires clear label disclosure.
e952,Sweetener and glazing agent E952,Review Needed,Seed catalog entry for E952 pending detailed additive review.
e953,Sweetener and glazing agent E953,Review Needed,Seed catalog entry for E953 pending detailed additive review.
e954,Sweetener and glazing agent E954,Review Needed,Seed catalog entry for E954 pending detailed additive review.
e955,Sweetener and glazing agent E955,Review Needed,Seed catalog entry for E955 pending detailed additive review.
e956,Sweetener and glazing agent E956,Review Needed,Seed catalog entry for E956 pending detailed additive review.
e957,Sweetener and glazing agent E957,Review Needed,Seed catalog entry for E957 pending detailed additive review.
